"Dim.1" "Dim.2" "Dim.3" "Dim.4" "Dim.5"
"S-B-P05-H1" -2.08650559764911 1.62801365829297 -1.63259515233272 -1.22314792834152 0.673447516316497
"S-B-P05-H2" -1.54628897500751 0.90228364634994 -0.885460836354103 -2.87347268309172 1.21108556223404
"S-B-P05-H3" -1.52799480681626 1.37746194789187 -0.423947785385726 -2.16614478718006 0.769633355497222
"S-B-P06-H1" -1.87001764395307 0.782650608034787 0.503981947949808 -0.881489648677304 -2.14709577886888
"S-B-P06-H2" -1.52645634973343 0.291335332670698 2.24523412462509 -1.80498296493072 -2.21438568771531
"S-B-P06-H3" -1.55782731546647 -0.195752418807014 -0.295149882576114 0.542164680795591 -1.67986821084152
"S-B-P07-H1" -2.24313675973501 1.01171114875563 -2.70670949935779 2.39365348297519 -0.493301362205236
"S-B-P07-H2" -1.52764985961782 0.0120149610837889 -1.49979211423149 -0.159353350717994 1.06412586388368
"S-B-P07-H3" -2.28301624522439 0.436742288963534 -1.00888550171632 2.97942198480597 0.181029582349131
"S-B-P08-H1" 2.70975181602369 4.221091 2.01400887020989 1.0467461833546 0.297530767260473
"S-B-P08-H2" 2.272898 3.211977 1.59370396499597 0.593597899047833 0.922714149531297
"S-B-P08-H3" 2.22489428699093 3.00892522485206 0.88146145070323 0.849218474855347 0.357443700833084
"S-B-P09-H1" -1.81019429739861 -3.129287 1.57645839496982 1.52115528270953 -0.136446475552712
"S-B-P09-H2" -1.391157 -4.275639 1.80440294201323 0.282846255970673 0.158103066334608
"S-B-P09-H3" -1.05203020420526 -3.21225177473057 1.37435251898226 -0.0708164767518151 2.17305827727046
"S-B-P10-H1" 4.69850484551152 -1.96945817778861 -0.796100699995745 -0.435329639279997 -0.409925155995431
"S-B-P10-H2" 3.56735213759504 -3.00132025666741 -0.358468333485944 0.0320559931791163 0.491295031816781
"S-B-P10-H3" 4.84887413500511 -1.50049839323026 -2.38649440901329 -0.626122758722717 -1.21844420214816
