"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"AD3-5-5";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";28.5;20.6;7.6;157;0.157;0.0165263157894737;NA;"th";"AD3-5-5";"AD3-5-5";"5";"AD3-5-5";"5";NA;NA;NA;NA;NA;NA;NA;NA;0.9155;0.9187;0.9161;0.0032;6e-04;0.8125;81.25;0.9114;0.925;0.9142;0.0136;0.0028;0.7941176471;79.41176471;NA
"AD3-5-6";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";37.5;28.6;10.3;422;0.422;0.03376;NA;"th";"AD3-5-6";"AD3-5-6";"6";"AD3-5-6";"6";NA;NA;NA;NA;NA;NA;NA;NA;0.8989;0.9126;0.9015;0.0137;0.0026;0.8102189781;81.02189781;0.9082;0.9567;0.9188;0.0485;0.0106;0.781443299;78.1443299;NA
"AD3-5-7";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";31.4;23.2;8.8;220;0.22;0.0210191082802548;NA;"th";"AD3-5-7";"AD3-5-7";"7";"AD3-5-7";"7";NA;NA;NA;NA;NA;NA;NA;NA;0.9047;0.9105;0.9057;0.0058;0.001;0.8275862069;82.75862069;1.1013;1.1164;1.1043;0.0151;0.003;0.8013245033;80.13245033;NA
"AD3-5-8";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";35.3;27.2;10;350;0.35;0.0297450424929178;NA;"th";"AD3-5-8";"AD3-5-8";"8";"AD3-5-8";"8";NA;NA;NA;NA;NA;NA;NA;NA;0.9037;0.9095;0.9043;0.0058;6e-04;0.8965517241;89.65517241;0.9155;0.9315;0.9188;0.016;0.0033;0.79375;79.375;32.9
"AD3-5-9";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";31.5;20.3;7.3;105;0.105;0.01;NA;"th";"AD3-5-9";"AD3-5-9";"9";"AD3-5-9";"9";NA;NA;NA;NA;NA;NA;NA;NA;0.9128;0.9165;0.9136;0.0037;8e-04;0.7837837838;78.37837838;0.9228;0.933;0.9249;0.0102;0.0021;0.7941176471;79.41176471;NA
"3-6-1";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";31.4;24.4;8.3;222;0.222;0.0212101910828025;NA;"rd";"3-6-1";"3-6-1";"P1";"3-6-1";"P1";0.908;0.9296;21.6;507687;487402;495869;496986;23008.6111111112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-2";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";30;25.3;8.5;220;0.22;0.022;NA;"rd";"3-6-2";"3-6-2";"P2";"3-6-2";"P2";0.9176;0.9372;19.6000000000001;490184;516422;545478;517361.333333333;26395.9863945577;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-3";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.6;24.7;9.7;282;0.282;0.0259509202453988;NA;"rd";"3-6-3";"3-6-3";"P3";"3-6-3";"P3";0.9261;0.9607;34.6;425426;402502;450479;426135.666666667;12316.0597302505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-4";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.1;26.1;9.2;361;0.361;0.0308547008547009;NA;"rd";"3-6-4";"3-6-4";"P4";"3-6-4";"P4";0.9122;0.9431;30.9;255548;257556;279904;264336;8554.56310679611;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-5";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";31.1;24.1;8.7;229;0.229;0.0220900321543408;NA;"rd";"3-6-5";"3-6-5";"P5";"3-6-5";"P5";0.9121;0.9222;10.1;331783;312081;306706;316856.666666667;31371.9471947195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-6";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";24.1;23.3;8.1;226;0.226;0.0281327800829876;NA;"rd";"3-6-6";"3-6-6";"P6";"3-6-6";"P6";0.91;0.9208;10.7999999999999;264268;297234;276355;279285.666666667;25859.7839506175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-7";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";29.6;22.2;7.6;198;0.198;0.0200675675675676;NA;"rd";"3-6-7";"3-6-7";"P7";"3-6-7";"P7";0.9124;0.9459;33.5;553473;583071;628985;588509.666666667;17567.4527363184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-8";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.1;26.1;9.1;314;0.314;0.0268376068376068;NA;"rd";"3-6-8";"3-6-8";"P8";"3-6-8";"P8";0.9156;0.9526;37;464452;572318;525096;520622;14070.8648648649;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-9";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.3;26.3;9.7;291;0.291;0.0247308781869688;NA;"rd";"3-6-9";"3-6-9";"P9";"3-6-9";"P9";0.9212;0.931;9.80000000000003;368725;252763;250726;290738;29667.1428571428;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AD3-6-1";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";39;30.3;9.5;473;0.473;0.0363846153846154;NA;"th";"AD3-6-1";"AD3-6-1";"1";"AD3-6-1";"1";NA;NA;NA;NA;NA;NA;NA;NA;0.9362;0.9449;0.9387;0.0087;0.0025;0.7126436782;71.26436782;0.9273;0.9652;0.936;0.0379;0.0087;0.7704485488;77.04485488;35.24
"AD3-6-2";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";44.1;33.5;12;696;0.696;0.0473469387755102;NA;"th";"AD3-6-2";"AD3-6-2";"2";"AD3-6-2";"2";NA;NA;NA;NA;NA;NA;NA;NA;0.919;0.9327;0.9218;0.0137;0.0028;0.795620438;79.5620438;0.9163;0.9434;0.9222;0.0271;0.0059;0.7822878229;78.22878229;28.655
"AD3-6-3";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";36.1;28.4;9.5;359;0.359;0.0298337950138504;NA;"th";"AD3-6-3";"AD3-6-3";"3";"AD3-6-3";"3";NA;NA;NA;NA;NA;NA;NA;NA;0.9085;0.9144;0.9098;0.0059;0.0013;0.7796610169;77.96610169;1.1351;1.1691;1.1416;0.034;0.0065;0.8088235294;80.88235294;NA
"AD3-6-4";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";36.7;28.6;9.6;365;0.365;0.0298365122615804;NA;"th";"AD3-6-4";"AD3-6-4";"4";"AD3-6-4";"4";NA;NA;NA;NA;NA;NA;NA;NA;1.1178;1.1273;1.1199;0.0095;0.0021;0.7789473684;77.89473684;1.0998;1.1426;1.1089;0.0428;0.0091;0.7873831776;78.73831776;32.095
"AD3-6-5";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";41.6;39.5;11;457;0.457;0.0329567307692308;NA;"th";"AD3-6-5";"AD3-6-5";"5";"AD3-6-5";"5";NA;NA;NA;NA;NA;NA;NA;NA;0.9322;0.947;0.9347;0.0148;0.0025;0.8310810811;83.10810811;0.9316;0.9763;0.9407;0.0447;0.0091;0.7964205817;79.64205817;31.925
"AD3-6-6";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";31;23.4;8.6;190;0.19;0.0183870967741935;NA;"th";"AD3-6-6";"AD3-6-6";"6";"AD3-6-6";"6";NA;NA;NA;NA;NA;NA;NA;NA;0.9142;0.9186;0.9148;0.0044;6e-04;0.8636363636;86.36363636;0.9122;0.9302;0.9162;0.018;0.004;0.7777777778;77.77777778;28.545
"AD3-6-7";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";34.1;26.1;8;263;0.263;0.0231378299120235;NA;"th";"AD3-6-7";"AD3-6-7";"7";"AD3-6-7";"7";NA;NA;NA;NA;NA;NA;NA;NA;0.9278;0.9331;0.9287;0.0053;9e-04;0.8301886792;83.01886792;1.1019;1.1283;1.1076;0.0264;0.0057;0.7840909091;78.40909091;NA
"AD3-6-8";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.9;26;8.9;348;0.348;0.0317325227963526;NA;"th";"AD3-6-8";"AD3-6-8";"8";"AD3-6-8";"8";NA;NA;NA;NA;NA;NA;NA;NA;0.9189;0.9265;0.9207;0.0076;0.0018;0.7631578947;76.31578947;0.9223;0.945;0.927;0.0227;0.0047;0.7929515419;79.29515419;NA
"AD3-6-9";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";28;19;6.2;185;0.185;0.0198214285714286;"*estimado (AD 3-6-6)";"th";"AD3-6-9";"AD3-6-9";"9";"AD3-6-9";"9";NA;NA;NA;NA;NA;NA;NA;NA;0.9295;0.9337;0.9301;0.0042;6e-04;0.8571428571;85.71428571;0.9366;0.9604;0.9417;0.0238;0.0051;0.7857142857;78.57142857;NA
"AD3-6-10";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";31.1;23.3;7.7;174;0.174;0.0167845659163987;NA;"th";"AD3-6-10";"AD3-6-10";"10";"AD3-6-10";"10";NA;NA;NA;NA;NA;NA;NA;NA;0.9368;0.9378;0.9369;0.001;1e-04;0.9;90;0.9124;0.9294;0.9153;0.017;0.0029;0.8294117647;82.94117647;NA
"3-6-XcRB:1";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";21.2;18.8;5.8;126;0.126;0.0178301886792453;NA;"xx";"3-6-XcRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:1";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";31.4;29;7.4;274;0.274;0.0261783439490446;NA;"xx";"3-6-XsRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:2";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";25.4;21.4;7;188;0.188;0.0222047244094488;NA;"xx";"3-6-XsRB:2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:3";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";30.4;25;8.6;324;0.324;0.0319736842105263;NA;"xx";"3-6-XsRB:3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:4";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.9;25.7;9.4;387;0.387;0.0352887537993921;NA;"xx";"3-6-XsRB:4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:5";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.3;23.7;8.6;273;0.273;0.0253560371517028;NA;"xx";"3-6-XsRB:5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:6";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";26.8;20.6;6.5;184;0.184;0.0205970149253731;NA;"xx";"3-6-XsRB:6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:7";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";29;23.1;8.1;254;0.254;0.0262758620689655;NA;"xx";"3-6-XsRB:7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:8";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";26.3;19.5;6;174;0.174;0.0198479087452471;NA;"xx";"3-6-XsRB:8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:9";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.7;25.2;9;341;0.341;0.0312844036697248;NA;"xx";"3-6-XsRB:9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-6-XsRB:10";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;6;1;"Hemigrammus unilineatus";27.5;21.4;7.2;187;0.187;0.0204;NA;"xx";"3-6-XsRB:10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-1";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";34.2;29.5;11.8;523;0.523;0.0458771929824561;NA;"rd";"3-7-1";"3-7-1";"P1";"3-7-1";"P1";0.9272;0.9481;20.9;279341;333797;278816;297318;14225.7416267942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-2";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";37.6;30.4;10.6;520;0.52;0.0414893617021277;NA;"rd";"3-7-2";"3-7-2";"P2";"3-7-2";"P2";0.9243;0.9444;20.1;296314;367194;311853;325120.333333333;16175.1409618574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-3";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";33.7;23.8;8.6;289;0.289;0.025727002967359;NA;"rd";"3-7-3";"3-7-3";"P3";"3-7-3";"P3";0.9334;0.9548;21.4;278808;291173;304396;291459;13619.5794392524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-4";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";39.2;31.1;11;576;0.576;0.0440816326530612;NA;"rd";"3-7-4";"3-7-4";"P4";"3-7-4";"P4";0.9301;0.9557;25.6;288355;365465;243917;299245.666666667;11689.2838541667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-5";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";33.5;25.5;9.4;329;0.329;0.0294626865671642;NA;"rd";"3-7-5";"3-7-5";"P5";"3-7-5";"P5";0.9237;0.9459;22.2;214531;527483;606390;449468;20246.3063063063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-6";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";30.2;25.5;9.1;315;0.315;0.0312913907284768;NA;"rd";"3-7-6";"3-7-6";"P6";"3-7-6";"P6";0.9117;0.9211;9.40000000000007;248257;233130;250049;243812;25937.4468085104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-8";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";34.2;26.5;8.8;325;0.325;0.0285087719298246;NA;"rd";"3-7-8";"3-7-8";"P8";"3-7-8";"P8";1.1057;1.1192;13.5000000000001;798143;315692;339765;484533.333333333;35891.3580246912;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-9";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";35.3;28.4;10.7;551;0.551;0.0468271954674221;NA;"rd";"3-7-9";"3-7-9";"P9";"3-7-9";"P9";0.931;0.9657;34.7;605988;653230;633502;630906.666666667;18181.7483189241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-10";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";29.1;22.5;7.7;203;0.203;0.0209278350515464;NA;"rd";"3-7-10";"3-7-10";"P10";"3-7-10";"P10";0.9192;0.9268;7.59999999999994;241976;248105;267526;252535.666666667;33228.3771929827;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-11";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";30.6;25.3;9.2;314;0.314;0.0307843137254902;NA;"rd";"3-7-11";"3-7-11";"P11";"3-7-11";"P11";0.923;0.9345;11.5;296887;282685;333250;304274;26458.6086956523;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-12";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";34.6;26.5;9.4;346;0.346;0.03;NA;"rd";"3-7-12";"3-7-12";"P12";"3-7-12";"P12";0.9276;0.9402;12.6000000000001;221556;264982;272937;253158.333333333;20091.9312169311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-13";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";26.5;23.7;8.3;247;0.247;0.0279622641509434;NA;"rd";"3-7-13";"3-7-13";"P13";"3-7-13";"P13";0.9248;0.9419;17.1;252594;259684;223345;245207.666666667;14339.6296296296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-14";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";23.4;17.9;6.2;111;0.111;0.0142307692307692;NA;"rd";"3-7-14";"3-7-14";"P14";"3-7-14";"P14";0.9116;0.9166;5;148020;179902;199430;175784;35156.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-15";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";24.1;19.7;6.4;135;0.135;0.016804979253112;NA;"rd";"3-7-15";"3-7-15";"P15";"3-7-15";"P15";0.9146;0.92;5.40000000000007;231340;272113;222493;241982;44811.4814814809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-16";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";35.1;26.6;9.3;337;0.337;0.0288034188034188;NA;"rd";"3-7-16";"3-7-16";"P16";"3-7-16";"P16";0.9317;0.9411;9.40000000000007;234035;230418;224233;229562;24421.4893617019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-17";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";34.6;26.5;9.4;325;0.325;0.0281791907514451;NA;"rd";"3-7-17";"3-7-17";"P17";"3-7-17";"P17";0.9083;0.9258;17.5;242900;276482;247257;255546.333333333;14602.6476190477;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-7-XcRB:1";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";30.5;22.3;7.5;216;0.216;0.0212459016393443;NA;"xx";"3-7-XcRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AD3-7-1";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";41.5;33.5;12.3;587;0.587;0.042433734939759;NA;"th";"AD3-7-1";"AD3-7-1";"1";"AD3-7-1";"1";NA;NA;NA;NA;NA;NA;NA;NA;0.9275;0.9372;0.9293;0.0097;0.0018;0.8144329897;81.44329897;0.9045;0.9461;0.9135;0.0416;0.009;0.7836538462;78.36538462;31.875
"AD3-7-2";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";40;21.9;10.8;508;0.508;0.0381;NA;"th";"AD3-7-2";"AD3-7-2";"2";"AD3-7-2";"2";NA;NA;NA;NA;NA;NA;NA;NA;0.9323;0.9434;0.9346;0.0111;0.0023;0.7927927928;79.27927928;0.9229;0.9584;0.9293;0.0355;0.0064;0.8197183099;81.97183099;NA
"AD3-7-3";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;7;1;"Hemigrammus unilineatus";24;20.5;6.7;123;0.123;0.015375;NA;"th";"AD3-7-3";"AD3-7-3";"3";"AD3-7-3";"3";NA;NA;NA;NA;NA;NA;NA;NA;0.9087;0.9123;0.9092;0.0036;5e-04;0.8611111111;86.11111111;0.9347;0.9487;0.9376;0.014;0.0029;0.7928571429;79.28571429;NA
