"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"2-6-6";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";34.7;26.2;9.3;434;0.434;0.037521613832853;NA;"rd";"2-6-6";"2-6-6";"P6";"2-6-6";"P6";0.9524;0.9766;24.2;211754;256153;216485;228130.666666667;9426.8870523416;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AD2-6-1";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";32.2;24.6;9.6;320;0.32;0.0298136645962733;NA;"th";"AD2-6-1";"AD2-6-1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;1.1568;1.1677;1.1577;0.0109;9e-04;0.9174311927;91.74311927;1.149;1.1952;1.1572;0.0462;0.0082;0.8225108225;82.25108225;29.935
"AD2-6-2";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.4;33.2;9.2;244;0.244;0.0206779661016949;NA;"th";"AD2-6-2";"AD2-6-2";"2";NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;0.9486;0.9718;0.9521;0.0232;0.0035;0.849137931;84.9137931;0.917;0.9358;0.9202;0.0188;0.0032;0.829787234;82.9787234;32.38
"AD2-6-3";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";49.1;29.2;11;476;0.476;0.0290835030549898;NA;"th";"AD2-6-3";"AD2-6-3";"3";NA;"3";NA;NA;NA;NA;NA;NA;NA;NA;0.9526;0.9611;0.9534;0.0085;8e-04;0.9058823529;90.58823529;0.9565;0.9851;0.9607;0.0286;0.0042;0.8531468531;85.31468531;32.735
"AD2-6-4";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";33.3;25;8.5;258;0.258;0.0232432432432432;NA;"th";"AD2-6-4";"AD2-6-4";"4";NA;"4";NA;NA;NA;NA;NA;NA;NA;NA;0.9446;0.9552;0.9452;0.0106;6e-04;0.9433962264;94.33962264;0.9548;1.0118;0.965;0.057;0.0102;0.8210526316;82.10526316;32.785
"AD2-6-5";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";35.4;27.2;9.4;288;0.288;0.0244067796610169;NA;"th";"AD2-6-5";"AD2-6-5";"5";NA;"5";NA;NA;NA;NA;NA;NA;NA;NA;0.9493;0.9581;0.9502;0.0088;9e-04;0.8977272727;89.77272727;0.962;1.0049;0.9697;0.0429;0.0077;0.8205128205;82.05128205;21.185
"AD2-6-6";"B-P06";"Barro Branco";"BarroBranco1";"Ponto6";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;6;1;"Hemigrammus unilineatus";33.3;25.2;10.2;393;0.393;0.0354054054054054;NA;"th";"AD2-6-6";"AD2-6-6";"6";NA;"6";NA;NA;NA;NA;NA;NA;NA;NA;0.9672;0.9818;0.9691;0.0146;0.0019;0.8698630137;86.98630137;0.9394;1.0052;0.9555;0.0658;0.0161;0.7553191489;75.53191489;17.985
"2-7-1";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;7;1;"Hemigrammus unilineatus";32;24.5;8.3;274;0.274;0.0256875;NA;"rd";"2-7-1";"2-7-1";"P1";"2-7-1";"P1";0.9317;0.9697;38;227070;247155;259172;244465.666666667;6433.30701754385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-7-2";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;7;1;"Hemigrammus unilineatus";26.9;21.7;6.8;159;0.159;0.0177323420074349;NA;"rd";"2-7-2";"2-7-2";"P2";"2-7-2";"P2";0.9285;0.9506;22.1;163503;169539;198424;177155.333333333;8016.07843137255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2-7-3";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;7;1;"Hemigrammus unilineatus";30;27.5;9.1;355;0.355;0.0355;NA;"rd";"2-7-3";"2-7-3";"P3";"2-7-3";"P3";0.9382;0.9645;26.3;410772;410076;359675;393507.666666667;14962.2686945501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AD2-7-1";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;7;1;"Hemigrammus unilineatus";34.2;29.5;11.8;523;0.523;0.0458771929824561;NA;"th";"AD2-7-1";"AD2-7-1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.9398;0.952;0.9417;0.0122;0.0019;0.8442622951;84.42622951;33.18
"AD2-7-2";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;7;1;"Hemigrammus unilineatus";37.6;30.4;10.6;520;0.52;0.0414893617021277;NA;"th";"AD2-7-2";"AD2-7-2";"2";NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;0.9594;0.976;0.962;0.0166;0.0026;0.843373494;84.3373494;0.9504;0.9691;0.9539;0.0187;0.0035;0.8128342246;81.28342246;34.315
"AD2-7-3";"B-P07";"Barro Branco";"BarroBranco1";"Ponto7";"Barro Branco";"Barro Branco Médio";"Rio";45210;"11/10/2023";2;7;1;"Hemigrammus unilineatus";33.7;23.8;8.6;289;0.289;0.025727002967359;NA;"th";"AD2-7-3";"AD2-7-3";"3";NA;"3";NA;NA;NA;NA;NA;NA;NA;NA;0.9591;0.9675;0.9594;0.0084;3e-04;0.9642857143;96.42857143;0.9529;0.9795;0.9575;0.0266;0.0046;0.8270676692;82.70676692;35.635
"3-5-1";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";23.3;20.5;7.7;168;0.168;0.0216309012875536;NA;"rd";"3-5-1";"3-5-1";"P1";"3-5-1";"P1";0.9007;0.9035;2.80000000000002;250474;261958;299509;270647;96659.642857142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-2";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";27.7;22;8.1;213;0.213;0.0230685920577617;NA;"rd";"3-5-2";"3-5-2";"P2";"3-5-2";"P2";0.9059;0.9097;3.79999999999991;244377;254353;242049;246926.333333333;64980.6140350892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-3";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";23.3;18.5;6.8;112;0.112;0.0144206008583691;NA;"rd";"3-5-3";"3-5-3";"P3";"3-5-3";"P3";0.9145;0.9245;10;345739;392535;389696;375990;37599;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-4";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";32.2;27.1;9.5;348;0.348;0.0324223602484472;NA;"rd";"3-5-4";"3-5-4";"P4";"3-5-4";"P4";0.9225;0.9323;9.80000000000003;268091;272079;268572;269580.666666667;27508.2312925169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
